日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,,
20240430,ユニ・チャーム,8113,化学,0.25%,TOPIX Large70,,
20240430,キリンホールディングス,2503,食料品,0.24%,TOPIX Large70,,
20240430,住友電気工業,5802,非鉄金属,0.24%,TOPIX Large70,,
20240430,日本取引所グループ,8697,その他金融業,0.24%,TOPIX Large70,,
20240430,豊田通商,8015,卸売業,0.24%,TOPIX Mid400,,
20240430,塩野義製薬,4507,医薬品,0.24%,TOPIX Large70,,
20240430,関西電力,9503,電気・ガス業,0.23%,TOPIX Mid400,,
20240430,東京電力ホールディングス,9501,電気・ガス業,0.23%,TOPIX Mid400,,
20240430,大和証券グループ本社,8601,証券、商品先物取引業,0.23%,TOPIX Mid400,,
20240430,資生堂,4911,化学,0.23%,TOPIX Large70,,
20240430,日東電工,6988,化学,0.22%,TOPIX Mid400,,
20240430,野村総合研究所,4307,情報・通信業,0.21%,TOPIX Mid400,,
20240430,ニトリホールディングス,9843,小売業,0.21%,TOPIX Large70,,
20240430,ＡＮＡホールディングス,9202,空運業,0.21%,TOPIX Large70,,
20240430,バンダイナムコホールディングス,7832,その他製品,0.21%,TOPIX Large70,,
20240430,パン・パシフィック・インターナショナルホールディングス,7532,小売業,0.21%,TOPIX Mid400,,
20240430,エーザイ,4523,医薬品,0.20%,TOPIX Large70,,
20240430,日産自動車,7201,輸送用機器,0.20%,TOPIX Large70,,
20240430,住友不動産,8830,不動産業,0.20%,TOPIX Large70,,
20240430,中部電力,9502,電気・ガス業,0.19%,TOPIX Mid400,,
20240430,旭化成,3407,化学,0.19%,TOPIX Large70,,
20240430,安川電機,6506,電気機器,0.19%,TOPIX Mid400,,
20240430,西日本旅客鉄道,9021,陸運業,0.18%,TOPIX Large70,,
20240430,大阪瓦斯,9532,電気・ガス業,0.18%,TOPIX Mid400,,
20240430,東京瓦斯,9531,電気・ガス業,0.18%,TOPIX Mid400,,
20240430,日本航空,9201,空運業,0.18%,TOPIX Mid400,,
20240430,オービック,4684,情報・通信業,0.18%,TOPIX Mid400,,
20240430,Ｔ＆Ｄホールディングス,8795,保険業,0.18%,TOPIX Mid400,,
20240430,ＪＦＥホールディングス,5411,鉄鋼,0.17%,TOPIX Mid400,,
20240430,三菱ケミカルグループ,4188,化学,0.17%,TOPIX Large70,,
20240430,楽天グループ,4755,サービス業,0.17%,TOPIX Mid400,,
20240430,鹿島建設,1812,建設業,0.17%,TOPIX Mid400,,
20240430,シスメックス,6869,電気機器,0.17%,TOPIX Large70,,
20240430,ＮＴＴデータグループ,9613,情報・通信業,0.17%,TOPIX Mid400,,
20240430,ヤマハ発動機,7272,輸送用機器,0.16%,TOPIX Mid400,,
20240430,住友金属鉱山,5713,非鉄金属,0.16%,TOPIX Mid400,,
20240430,大林組,1802,建設業,0.16%,TOPIX Mid400,,
20240430,キッコーマン,2801,食料品,0.16%,TOPIX Mid400,,
20240430,大東建託,1878,不動産業,0.16%,TOPIX Mid400,,
20240430,ＳＢＩホールディングス,8473,証券、商品先物取引業,0.16%,TOPIX Mid400,,
20240430,富士電機,6504,電気機器,0.16%,TOPIX Mid400,,
20240430,マツダ,7261,輸送用機器,0.15%,TOPIX Mid400,,
20240430,いすゞ自動車,7202,輸送用機器,0.15%,TOPIX Mid400,,
20240430,アシックス,7936,その他製品,0.15%,TOPIX Mid400,,
20240430,島津製作所,7701,精密機器,0.15%,TOPIX Mid400,,
20240430,ＳＣＲＥＥＮホールディングス,7735,電気機器,0.15%,TOPIX Mid400,,
20240430,出光興産,5019,石油・石炭製品,0.14%,TOPIX Mid400,,
20240430,ダイフク,6383,機械,0.14%,TOPIX Mid400,,
20240430,阪急阪神ホールディングス,9042,陸運業,0.14%,TOPIX Mid400,,
20240430,ＬＩＮＥヤフー,4689,情報・通信業,0.14%,TOPIX Large70,,
20240430,ネクソン,3659,情報・通信業,0.14%,TOPIX Mid400,,
20240430,荏原製作所,6361,機械,0.14%,TOPIX Mid400,,
20240430,日本ペイントホールディングス,4612,化学,0.14%,TOPIX Mid400,,
20240430,川崎汽船,9107,海運業,0.14%,TOPIX Mid400,,
20240430,マキタ,6586,機械,0.14%,TOPIX Mid400,,
20240430,ミネベアミツミ,6479,電気機器,0.14%,TOPIX Mid400,,
20240430,東急,9005,陸運業,0.14%,TOPIX Mid400,,
20240430,ＡＧＣ,5201,ガラス・土石製品,0.13%,TOPIX Mid400,,
20240430,大成建設,1801,建設業,0.13%,TOPIX Mid400,,
20240430,東洋水産,2875,食料品,0.13%,TOPIX Mid400,,
20240430,東レ,3402,繊維製品,0.13%,TOPIX Mid400,,
20240430,双日,2768,卸売業,0.12%,TOPIX Mid400,,
20240430,大日本印刷,7912,その他製品,0.12%,TOPIX Mid400,,
20240430,カプコン,9697,情報・通信業,0.12%,TOPIX Mid400,,
20240430,小野薬品工業,4528,医薬品,0.12%,TOPIX Mid400,,
20240430,浜松ホトニクス,6965,電気機器,0.12%,TOPIX Mid400,,
20240430,積水化学工業,4204,化学,0.12%,TOPIX Mid400,,
20240430,アイシン,7259,輸送用機器,0.12%,TOPIX Mid400,,
20240430,ＴＯＰＰＡＮホールディングス,7911,その他製品,0.12%,TOPIX Mid400,,
20240430,日本酸素ホールディングス,4091,化学,0.12%,TOPIX Mid400,,
20240430,コンコルディア・フィナンシャルグループ,7186,銀行業,0.12%,TOPIX Mid400,,
20240430,三菱ＨＣキャピタル,8593,その他金融業,0.12%,TOPIX Mid400,,
20240430,ＳＵＭＣＯ,3436,金属製品,0.11%,TOPIX Mid400,,
20240430,日清食品ホールディングス,2897,食料品,0.11%,TOPIX Mid400,,
20240430,ヤクルト本社,2267,食料品,0.11%,TOPIX Mid400,,
20240430,日本特殊陶業,5334,ガラス・土石製品,0.11%,TOPIX Mid400,,
20240430,マツキヨココカラ＆カンパニー,3088,小売業,0.11%,TOPIX Mid400,,
20240430,電通グループ,4324,サービス業,0.11%,TOPIX Mid400,,
20240430,明治ホールディングス,2269,食料品,0.11%,TOPIX Mid400,,
20240430,ローム,6963,電気機器,0.11%,TOPIX Mid400,,
20240430,オムロン,6645,電気機器,0.11%,TOPIX Large70,,
20240430,住友林業,1911,建設業,0.11%,TOPIX Mid400,,
20240430,ミスミグループ本社,9962,卸売業,0.11%,TOPIX Mid400,,
20240430,近鉄グループホールディングス,9041,陸運業,0.10%,TOPIX Mid400,,
20240430,神戸製鋼所,5406,鉄鋼,0.10%,TOPIX Mid400,,
20240430,川崎重工業,7012,輸送用機器,0.10%,TOPIX Mid400,,
20240430,三越伊勢丹ホールディングス,3099,小売業,0.10%,TOPIX Mid400,,
20240430,横河電機,6841,電気機器,0.10%,TOPIX Mid400,,
20240430,京成電鉄,9009,陸運業,0.10%,TOPIX Mid400,,
20240430,ブラザー工業,6448,電気機器,0.10%,TOPIX Mid400,,
20240430,三井化学,4183,化学,0.10%,TOPIX Mid400,,
20240430,トレンドマイクロ,4704,情報・通信業,0.10%,TOPIX Mid400,,
20240430,千葉銀行,8331,銀行業,0.09%,TOPIX Mid400,,
20240430,ふくおかフィナンシャルグループ,8354,銀行業,0.09%,TOPIX Mid400,,
20240430,コナミグループ,9766,情報・通信業,0.09%,TOPIX Mid400,,
20240430,ＴＩＳ,3626,情報・通信業,0.09%,TOPIX Mid400,,
20240430,サントリー食品インターナショナル,2587,食料品,0.09%,TOPIX Mid400,,
20240430,栗田工業,6370,機械,0.09%,TOPIX Mid400,,
20240430,京都フィナンシャルグループ,5844,銀行業,0.09%,TOPIX Mid400,,
20240430,ソシオネクスト,6526,電気機器,0.09%,TOPIX Mid400,,
20240430,東武鉄道,9001,陸運業,0.09%,TOPIX Mid400,,
20240430,エムスリー,2413,サービス業,0.09%,TOPIX Large70,,
20240430,東急不動産ホールディングス,3289,不動産業,0.09%,TOPIX Mid400,,
20240430,リコー,7752,電気機器,0.09%,TOPIX Mid400,,
20240430,九州電力,9508,電気・ガス業,0.09%,TOPIX Mid400,,
20240430,セイコーエプソン,6724,電気機器,0.09%,TOPIX Mid400,,
20240430,ヒューリック,3003,不動産業,0.09%,TOPIX Mid400,,
20240430,フジクラ,5803,非鉄金属,0.09%,TOPIX Mid400,,
20240430,レゾナック・ホールディングス,4004,化学,0.09%,TOPIX Mid400,,
20240430,ゼンショーホールディングス,7550,小売業,0.09%,TOPIX Mid400,,
20240430,すかいらーくホールディングス,3197,小売業,0.08%,TOPIX Mid400,,
20240430,ホシザキ,6465,機械,0.08%,TOPIX Mid400,,
20240430,しずおかフィナンシャルグループ,5831,銀行業,0.08%,TOPIX Mid400,,
20240430,良品計画,7453,小売業,0.08%,TOPIX Mid400,,
20240430,イビデン,4062,電気機器,0.08%,TOPIX Mid400,,
20240430,協和キリン,4151,医薬品,0.08%,TOPIX Mid400,,
20240430,東北電力,9506,電気・ガス業,0.08%,TOPIX Mid400,,
20240430,大塚商会,4768,情報・通信業,0.08%,TOPIX Mid400,,
20240430,ＳＧホールディングス,9143,陸運業,0.08%,TOPIX Mid400,,
20240430,アズビル,6845,電気機器,0.08%,TOPIX Mid400,,
20240430,ロート製薬,4527,医薬品,0.08%,TOPIX Mid400,,
20240430,西武ホールディングス,9024,陸運業,0.08%,TOPIX Mid400,,
20240430,かんぽ生命保険,7181,保険業,0.08%,TOPIX Mid400,,
20240430,堀場製作所,6856,電気機器,0.08%,TOPIX Mid400,,
20240430,東宝,9602,情報・通信業,0.08%,TOPIX Mid400,,
20240430,小田急電鉄,9007,陸運業,0.08%,TOPIX Mid400,,
20240430,東ソー,4042,化学,0.08%,TOPIX Mid400,,
20240430,ＭｏｎｏｔａＲＯ,3064,小売業,0.07%,TOPIX Mid400,,
20240430,ＩＨＩ,7013,機械,0.07%,TOPIX Mid400,,
20240430,ＴＯＴＯ,5332,ガラス・土石製品,0.07%,TOPIX Mid400,,
20240430,朝日インテック,7747,精密機器,0.07%,TOPIX Mid400,,
20240430,神戸物産,3038,卸売業,0.07%,TOPIX Mid400,,
20240430,ユー・エス・エス,4732,サービス業,0.07%,TOPIX Mid400,,
20240430,ＬＩＸＩＬ,5938,金属製品,0.07%,TOPIX Mid400,,
20240430,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,陸運業,0.07%,TOPIX Mid400,,
20240430,清水建設,1803,建設業,0.07%,TOPIX Mid400,,
20240430,参天製薬,4536,医薬品,0.07%,TOPIX Mid400,,
20240430,三和ホールディングス,5929,金属製品,0.07%,TOPIX Mid400,,
20240430,ＤＭＧ森精機,6141,機械,0.07%,TOPIX Mid400,,
