"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"24957893646336.0","25650048478208.0","31026008337408.0","32067600560128.0","33801347614720.0","35985331307520.0","34809340088320.0","37557799566336.0","34816060038144.0","40319698944000.0","48665876625408.0","50964099465216.0"
"9942511142707.2","10870432220160.0","12415024465920.0","13359265763328.0","13563268512768.0","14787285009408.0","14653226059776.0","14629911459840.0","14122818911232.0","16261933455360.0","17975556550656.0","18150416050176.0"
"15518269694720.0","15917414589440.0","15681556242560.0","16104891736960.0","14689741655680.0","14804647004160.0","15028410051200.0","15506174394880.0","16219797085440.0","17774043114880.0","15657365642880.0","15705746842240.0"
"7139569417920.0","8899695599040.0","9473349288960.0","9788974009920.0","9941026795200.0","9418057367040.0","9102432646080.0","11069903534400.0","11636645734080.0","12839245035840.0","16988443009920.0","18232511253120.0"
"6713749551052.8","7473546759168.0","9271693347840.0","9720025878988.799","9627710317516.799","9536598872064.0","9305007224371.201","9212691662899.201","9044918164224.0","10295191964160.0","12863972805120.0","13995841863168.0"
"6892472741376.0","7409062882713.601","8191775218073.601","8561952110796.8","8926603975270.4","8540772835840.0","8726782120243.2","9470819257856.0","9364922883072.0","10750784135680.0","11662413796864.0","12804252968448.0"
"14818277011200.0","16443194457600.0","16455320707200.0","15463393489920.0","14677612515840.0","13460137056000.0","14102828284800.0","15363958243200.0","15065652503040.0","16147313967360.0","16986450439680.0","16865187943680.0"
"7239225755136.0","7407519163392.0","8035031794176.0","8732992828416.0","8716033027584.0","9584896670208.0","9419212462080.0","9468787264512.0","8975648440320.0","10045420492800.0","10885582934016.0","11622681970176.0"
"6230585564672.0","6488413059072.0","7972026126848.0","8163555122688.0","8002965426176.0","7989705726464.0","7980865926656.0","7944033427456.0","7805543230464.0","8885472107008.0","9654534690304.0","10469269572608.0"
"7664848648192.0","8525978421248.0","9460522483712.0","9283931355136.0","9244247955456.0","8617250240512.0","8865271488512.0","10341493956608.0","11740333795328.0","11656998656000.0","12672893687808.0","13063775174656.0"
"5812365463552.0","6520671505920.0","6935623329024.0","7498012246784.0","7934243650560.0","7005541951232.0","6586030217984.0","8367435114240.0","9063581396224.0","9008862474496.0","9186698970112.0","10194439111936.0"
"13957777883136.0","13301930488627.2","14336151379968.0","13697120585318.4","14151168781516.8","14849057675673.6","14865874275532.8","14554767178137.6","14487500778700.8","15664662768844.8","15328330771660.8","15118123273420.8"
"6446065135616.0","6774682436608.0","8160902142976.0","8251307776000.0","7852374982656.0","7757664319488.0","7710308987904.0","8234087655424.0","8275702946816.0","9689187844096.0","9350525472768.0","9278774970368.0"
"6660617040000.0","6910928640000.0","7616458080000.0","7509348000000.0","7296292080000.0","7253215200000.0","7242737040000.0","8047226880000.0","8567642160000.0","9674834400000.0","9779616000000.0","9542111040000.0"
"5334382530560.0","6165918630912.0","6501278709120.0","6391453186432.0","6328695744896.0","6795454216320.0","6556191470464.0","7154348335104.0","6920969099392.0","7707398288640.0","8582080130048.0","9223382735744.0"
