"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"6.647217146717798e+16","6.831563771949875e+16","8.263382220354355e+16","8.540797044732723e+16","9.002558494343168e+16","9.584234739007488e+16","9.271024453419008e+16","1.0003041635165798e+17","9.272814226479514e+16","1.07386383630336e+17","1.2961536504181555e+17","1.357363889087447e+17"
"1.4391785040642048e+16","1.57349508153344e+16","1.79707481161728e+16","1.933753740951552e+16","1.963283139264512e+16","2.140459529142272e+16","2.121054495965184e+16","2.11767970758656e+16","2.044278060351488e+16","2.35391489409024e+16","2.601961839919104e+16","2.627272752758784e+16"
"2.1407453710123008e+17","2.1958074109526016e+17","2.1632707509878784e+17","2.2216698842578944e+17","2.0264499244695552e+17","2.0423011177857024e+17","2.073169231085568e+17","2.1390768243474432e+17","2.2375210775740416e+17","2.4519293240082432e+17","2.1599336576581632e+17","2.1666078443175936e+17"
"1.7142105562939392e+17","2.1368168373551104e+17","2.2745510834077696e+17","2.3503325762158592e+17","2.386840448663552e+17","2.2612754934267904e+17","2.1854940006187008e+17","2.657883744108544e+17","2.7939585414135808e+17","3.0827026234998784e+17","4.078925021655859e+17","4.377625796227891e+17"
"6.039233298117427e+16","6.722829255337574e+16","8.340352083689472e+16","8.743529276768256e+16","8.660486810134118e+16","8.578647857509171e+16","8.370439933919232e+16","8.287397467285094e+16","2.7121188197105664e+16","3.087013433573376e+16","3.857262399455232e+16","4.196653350046925e+16"
