"2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"2.504852873800581e+17","2.847708860813148e+17","2.612576936525824e+17","2.8176463316805222e+17","3.08355655960363e+17","2.908549693581558e+17","3.262142298141491e+17","3.475085212830925e+17","3.5090845017309184e+17","3.432854517144617e+17","7.1577450315776e+16","7.181007702930227e+16","7.161323904093389e+16","7.535316081993318e+16","8.03635823420375e+16","7.653418875014349e+16","7.954044166340608e+16","8.000569509045862e+16","7.596156914761728e+16","7.51563228315648e+16","7.648050566240666e+16","7.521000591930163e+16","6.713964839619789e+16","7.370687946267034e+16","7.195323192993382e+16","6.4867064348672e+16","6.787331726193459e+16","6.66565006065664e+16","6.728280329682944e+16"
"7565348617322496.0","7693546275051930.0","7916205364792525.0","9412406975397888.0","9980862378750772.0","9749769232580608.0","1.045822997266432e+16","1.0122554526767514e+16","9758203289010176.0","1.0026406283470438e+16","1.1097531450025574e+16","1.050040025481216e+16","1.014448307348439e+16","1.0540883725674086e+16","1.165755279694889e+16","1.202359084599214e+16","1.28248262068011e+16","1.2723617529646284e+16","1.230866195331154e+16","1.2303601519453798e+16","1.2573491325199974e+16","1.216359618272297e+16","1.0989575527727104e+16","1.1799244944965632e+16","1.2737112019933594e+16","1.4995752331771904e+16","1.6070251120898868e+16","1.6279415720352154e+16","1.4302472893261414e+16"
"1.619157683577815e+17","1.7161002448060416e+17","1.676889398181888e+17","1.8554238913216512e+17","1.9346798579023872e+17","1.818715864694784e+17","1.7995275780489216e+17","1.8045332180434944e+17","1.89797183127552e+17","1.8954690112782336e+17","2.0781748710801408e+17","2.1924703176228864e+17","2.306765764165632e+17","2.415221297381376e+17","2.1223913576988672e+17","1.9705536111968256e+17","2.1240599043637248e+17","1.8721093579702272e+17","2.0214442844749824e+17","1.8512525246595072e+17","1.9513653245509632e+17","1.8579267113189376e+17","1.5494124329867674e+17","1.666544408859771e+17","1.8779492712972288e+17","1.6743865781846016e+17","1.9321770379051008e+17","1.9071488379322368e+17","1.9997531778318336e+17"
"3.924043138544435e+17","4.248188793913344e+17","4.4041769761898496e+17","4.817932863930368e+17","5.1763737934168064e+17","5.345637565674291e+17","5.3832517372870656e+17","5.319086385712333e+17","4.969495849546547e+17","5.2261572558454784e+17","5.494987952960307e+17","5.846791087456256e+17","6.620094203848294e+17","7.332550866160845e+17","6.054775330491597e+17","6.169830443660083e+17","6.99734221914112e+17","6.137747767872717e+17","6.524952475651277e+17","4.900905301311488e+17","5.0900824585404416e+17","4.8854171130003456e+17","3.949488019341312e+17","4.3687754029072384e+17","4.9883029353529344e+17","4.301291153837261e+17","4.997153328673587e+17","5.1675234000961536e+17","1.7745038607908864e+17"
"2.928149584360243e+16","3.0581290973528064e+16","3.186303339331584e+16","3.614152569598771e+16","3.766998848765952e+16","3.634612307755008e+16","3.5912858034241536e+16","3.644240419828531e+16","3.685159896141005e+16","3.984834884429414e+16","4.255625536497254e+16","4.347092601195725e+16","4.081116005164646e+16","4.395233161563341e+16","4.666023813631181e+16","4.658802729576038e+16","5.53736795628503e+16","5.275001902281523e+16","5.335177602741043e+16","4.858586055101645e+16","4.751473308283699e+16","5.492837937944986e+16","4.775543588467507e+16","4.851364971046502e+16","5.542182012321792e+16","5.154650501362483e+16","5.218436743849574e+16","5.571066348542362e+16","5.71789505766359e+16"
