"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"6.790398991558246e+16","6.708069430774989e+16","6.955058113124762e+16","8.324234504411546e+16","8.75378003893289e+16","9.018666451887718e+16","9.618240427157094e+16","9.707729080182374e+16","1.014085416082473e+17","9.432104028864512e+16","1.0541763326377984e+17","1.3172729725321216e+17"
"1.452846396997632e+16","1.4668517687689216e+16","1.6264792590778368e+16","1.831666392498176e+16","1.911817616490496e+16","1.996187325956096e+16","2.173363715833856e+16","2.18095698968576e+16","2.148052802994176e+16","2.0670578819072e+16","2.343790528954368e+16","2.650052574314496e+16"
"2.0072616378236928e+17","2.1015345243881472e+17","2.2375210775740416e+17","2.2241727042551808e+17","2.2492009042280448e+17","2.0915232443990016e+17","2.0364612044587008e+17","2.1349054576852992e+17","2.1223913576988672e+17","2.1849618576310272e+17","2.4010386507300864e+17","2.2049844176093184e+17"
"1.7379959883431936e+17","1.71476370587648e+17","2.1832814022885376e+17","2.3641613157793792e+17","2.4167105261207552e+17","2.3713522603524096e+17","2.2325117151346688e+17","2.2557439976013824e+17","2.638523508719616e+17","2.6556711457783808e+17","3.0578108922855424e+17","4.245976195583181e+17"
"5.780477786141491e+16","6.07774574641152e+16","6.952700431092941e+16","8.552170549306982e+16","8.792873351145062e+16","8.827775257411584e+16","8.57624082949079e+16","8.659283296124928e+16","8.39691724212142e+16","2.75303829602304e+16","3.0828011345412096e+16","3.933083782034227e+16"
