"2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"2.486958511221637e+17","2.51165273158058e+17","2.8373301305173606e+17","2.6104296130163507e+17","2.836256468762624e+17","3.014484320048906e+17","2.9930110849541734e+17","3.372371571627786e+17","3.467927467799347e+17","3.5896091333361664e+17","3.45432775223935e+17","7.03964223855657e+16","7.33668865736704e+16","7.32058373104599e+16","7.996990636530074e+16","7.970149092661658e+16","7.63373507617751e+16","7.891413897314304e+16","7.973727965177446e+16","7.864572353445888e+16","7.39752949013545e+16","7.916466004924826e+16","7.345635838656512e+16","6.948380989403955e+16","7.227533045635482e+16","7.152376722803917e+16","6.438391655904051e+16","6.810594397546086e+16","6.669228933172429e+16"
"7113283192697651.0","7587277164039373.0","7607518899470336.0","8017414041947341.0","9479879426834432.0","1.0038213962471834e+16","1.01579775637717e+16","1.054763097081774e+16","1.0119180904195686e+16","9913389927314228.0","1.024737856192512e+16","1.079559222984704e+16","1.0797279041132954e+16","1.0304730145646182e+16","1.0908608586003252e+16","1.178406364339241e+16","1.1821173491682508e+16","1.3000254580536116e+16","1.2755666944078644e+16","1.2576864947771802e+16","1.2279986161451008e+16","1.2634216531492864e+16","1.2072508373283636e+16","1.0930537132720128e+16","1.1863343773830348e+16","1.2617348418633728e+16","1.5623246130131764e+16","1.5999405046890496e+16","1.6115795025618534e+16"
"1.4629817157471437e+17","1.635175731560448e+17","1.7411284447789056e+17","1.6944091381628928e+17","1.9029774712700928e+17","1.943856864559104e+17","1.7878477513949184e+17","1.8070360380407808e+17","1.8253900513542144e+17","1.927171397910528e+17","1.9088173845970944e+17","2.0164386444804096e+17","2.310937130827776e+17","2.3184455908196352e+17","2.4978143572918272e+17","2.1307340910231552e+17","1.964713697869824e+17","2.0906889710665728e+17","1.8620980779810816e+17","2.0639922244288512e+17","1.8036989447110656e+17","1.8887948246188032e+17","1.83540133134336e+17","1.586621023613092e+17","1.676889398181888e+17","1.889629097951232e+17","1.6960776848277504e+17","1.9138230245916672e+17","1.9079831112646656e+17"
"3.084362072247501e+17","4.062330534179635e+17","4.1939801348243456e+17","4.4572793361137664e+17","4.9186060879527936e+17","5.418653310569677e+17","5.3932084297728e+17","5.385464335617229e+17","5.3035981974011904e+17","5.149822613454848e+17","5.252708435807437e+17","5.409802917249024e+17","6.096814698764698e+17","6.630050896334029e+17","7.569298887488307e+17","6.125578477056819e+17","6.377814686695424e+17","6.823653250223309e+17","6.061413125482086e+17","6.455255628251136e+17","4.7194722382381056e+17","5.155354109280256e+17","4.721684836568269e+17","4.1309210824146944e+17","4.392007685373952e+17","5.188543084232704e+17","4.2492950930784256e+17","5.103358048521421e+17","5.262665128293171e+17"
"2.852929958785843e+16","2.958237434590003e+16","3.0436869292425216e+16","3.192320909377536e+16","3.631001765727437e+16","3.694788008214528e+16","3.798290213004902e+16","3.591887560428749e+16","3.616559597617152e+16","3.797086698995712e+16","4.010108678622413e+16","4.116017911431168e+16","4.406064787646054e+16","4.128053051523072e+16","4.465036974096384e+16","4.640750019438182e+16","4.66241327160361e+16","5.498855507990938e+16","5.291851098410189e+16","5.383318163108659e+16","4.597423515107328e+16","4.887470391322214e+16","5.29546164043776e+16","4.869417681184358e+16","5.080032632792678e+16","5.467564143751987e+16","5.071608034728346e+16","5.250931622097715e+16","5.74557587987497e+16"
