"2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"18275592662630.4","18457059908812.797","20850323590348.797","19182928893542.4","20842433710080.0","22152153834700.797","21994356229324.797","24782113924300.797","25484313268224.0","26378499698688.0","25384374784819.203","25865657481216.0","26957090918400.0","26897916816384.0","29383229101056.0","29284605597696.0","28048524355584.0","28995309987840.0","29297755398144.0","28896686484480.0","27180637526016.0","29087358590976.0","26989965419520.0","25530337569792.0","26556022004736.0","26279876195328.0","23656491005952.0","25024070252544.0","24504653134848.0"
"4915883396505.6","5243453525606.4","5257442285568.0","5540714674790.4","6551402582016.0","6937259210956.8","7020026040729.601","7289309669990.399","6993214250803.2","6850995191193.601","7081809730560.0","7460671979520.0","7461837709516.8","7121444550451.2","7538775889305.601","8143789757644.8","8169435817574.399","8984281085337.6","8815250235801.6","8691682856140.8","8486514376704.0","8731317676032.0","8343129587097.601","7553930379264.0","8198579067494.399","8719660376064.0","10796991230361.6","11056949019648.0","11137384389427.2"
"10582379495424.0","11827933286400.0","12594335086080.0","12256394135040.0","13765059095040.0","14060757427200.0","12932276037120.0","13071073213440.0","13203835729920.0","13940064230400.0","13807301713920.0","14585772833280.0","16716007756800.0","16770319695360.0","18067771560960.0","15412521231360.0","14211623923200.0","15122857559040.0","13469360762880.0","14929748444160.0","13046934574080.0","13662469877760.0","13276251648000.0","11476716083712.0","12129666278400.0","13668504537600.0","12268463454720.0","13843509672960.0","13801267054080.0"
"4282036816492.8","5639776035840.0","5822561914387.2","6188087594880.0","6828552357120.0","7522788513427.2","7487447760000.0","7476711911827.2","7363040935680.0","7149568040467.2","7292405505427.2","7510486060800.0","8464271713920.0","9204584471827.201","10508552297107.201","8504220127507.2","8854402299667.201","9473349288960.0","8415107980012.8","8961899011200.0","6552092747520.0","7157216756332.8","6555179879827.2","5735016371347.2","6097454919532.8","7203293357932.8","5899325532652.8","7085060798227.2","7306228485907.2"
"3171641594572.8003","3288440848435.1997","3383566013952.0","3548931280588.8003","4036598268364.8003","4107239741491.1997","4222433507328.0","3992848719667.1997","4020543388108.8003","4221229391308.8003","4458038875084.8","4575640872960.0","4897942594099.2","4588886149171.2","4963767603148.8","5158834398259.2","5182916718643.2","6112895657472.0","5882909497804.8","5984456615424.0","5110669757491.2","5433372850636.8","5886923217868.8","5413304250316.8","5647304130048.0","6077976292915.2","5638072573900.8","5837153089075.2","6387032737843.2"
"3234730685030.4","3647577210777.6","3700907051520.0","4114673057280.0","4679233785139.2","4529358543052.8","4956916749004.8","5380797034905.601","5835939641241.601","5686064399155.2","5677789079040.0","5940760362700.8","6251544607027.2","6216604366540.8","5959149962956.8","5334823034265.601","5207015312486.399","5606989118054.399","5958230482944.0","6248786166988.8","5826744841113.601","6081440804659.2","6400500369100.8","5750428000051.2","6453830209843.2","6732432653721.601","6026272003891.2","6166032965836.8","6417051009331.2"
"11687279364480.0","12817445827200.0","13983991038720.0","13988841538560.0","12279040344960.0","12589472334720.0","12929007323520.0","13074522318720.0","13637180300160.0","15162662499840.0","16271001713280.0","15759273980160.0","16940370691200.0","17088310936320.0","17903194909440.0","14408409774720.0","13130303066880.0","14105253534720.0","12669505582080.0","12521565336960.0","11061564885120.0","13283093811840.0","12545817836160.0","11745485362560.0","14129506033920.0","14161034282880.0","12208708097280.0","14449639023360.0","14364755276160.0"
"3868684416000.0","3989262720000.0","4122368640000.0","4325942400000.0","4945667904000.0","5172730944000.0","5136322560000.0","5188390464000.0","5009871936000.0","4890859584000.0","5033361216000.0","5000476224000.0","4991472000000.0","4872851136000.0","5265513600000.0","5420934336000.0","5344985664000.0","5129667264000.0","5050195200000.0","5221275456000.0","5239283904000.0","5431113024000.0","5470261824000.0","5248679616000.0","5469087360000.0","6036744960000.0","7014290496000.0","7410867840000.0","7729147584000.0"
"2473081326284.8","2650466642432.0","2762437440000.0","2844942238208.0","3372383626752.0","3309915708108.8","3618424721408.0","3594262601932.8","3648774700748.8","3780487717888.0","3603691721728.0","3532973323264.0","3930174994636.8","3771058598092.8","4070727811584.0","4175332109312.0","4163545709568.0","4855996694528.0","4702773497856.0","4836843794944.0","4168849589452.8","4455259103232.0","4676254098432.0","4592276000256.0","5125610588672.0","5788595574272.0","5516035080192.0","5692831076352.0","5838687773184.0"
"5618246836224.0","6974307119104.0","7061411721216.0","7233641275392.0","7065371021312.0","7481097531392.0","7370237128704.0","7498914381824.0","7453382430720.0","7247498825728.0","7285112176640.0","7295010426880.0","8100727996416.0","7508812632064.0","8177934348288.0","7566222483456.0","7126740172800.0","7429626630144.0","7085167521792.0","7356379578368.0","6101281447936.0","6906999017472.0","6372493504512.0","5919153643520.0","6186406400000.0","7067350671360.0","6261633101824.0","7623632334848.0","7552364933120.0"
"6180188160000.0","6366428160000.0","6353018880000.0","6935577600000.0","8163271680000.0","7865287680000.0","7839959040000.0","8166251520000.0","8196049920000.0","8449336320000.0","9621903360000.0","10159764480000.0","11490263040000.0","10456258560000.0","10548633600000.0","8418048000000.0","7300608000000.0","8139432960000.0","7115857920000.0","6878960640000.0","5780889600000.0","7503237120000.0","6634613760000.0","6315770880000.0","6928128000000.0","6555648000000.0","6227865600000.0","6345569280000.0","5470986240000.0"
"7572576192921.6","8277001885286.4","9098831859712.0","8838865235148.8","9434272665600.0","9601993068544.0","9358798484275.2","9643923169280.0","9660695209574.4","9601993068544.0","9987749995315.2","10390278962380.8","10826352010035.2","10415437022822.4","10708947727974.4","11069546594304.0","11170178836070.398","12109413092556.8","12864154905804.8","13350544074342.398","13031875308748.8","12746750623744.0","12553872160358.398","12872540925952.0","13627282739200.0","12813838784921.602","12620960321536.0","13031875308748.8","13166051631104.0"
"3640597171328.0","4002293329408.0","4235068084608.0","4269447125376.0","4715658425344.0","5111017394176.0","5007880271872.0","4669819704320.0","4585304562432.0","4782984046848.0","4731415485696.0","4513681560832.0","4757199766272.0","4728550565632.0","5086665573632.0","5267155537664.0","5439050741504.0","5923222232320.0","5609513485312.0","5373157580032.0","5290074898176.0","5658217126400.0","5280047677952.0","5102422633984.0","5704055847424.0","6105144656384.0","5765651628800.0","5981953093632.0","5901735331840.0"
"6704858160000.0","6679244880000.0","7631593200000.0","7292799360000.0","7598994480000.0","7325398080000.0","7172882640000.0","7772466240000.0","7510512240000.0","6680409120000.0","6254297280000.0","5771137680000.0","5891054400000.0","5899204080000.0","6331137120000.0","6603569280000.0","6766562880000.0","7411551840000.0","6810804000000.0","6801490080000.0","6678080640000.0","6860866320000.0","6648974640000.0","6775876800000.0","7072758000000.0","6761905920000.0","6388184880000.0","6496459200000.0","5963237280000.0"
"3116887557286.4","3420280563712.0","3408513543424.0","3364779451353.6","3502061354713.6","3462053485734.4","3462053485734.4","3413024234534.4","3342422112806.4","3488921515392.0","3580508156633.6","3892922545280.0","3990392696665.6","3785646543654.4","4310063414489.5996","4460289040166.4","4281822565798.4004","4628949664294.4","4535597970009.6","4987255432064.0","5137677174745.6","5119242176294.4","4967055380569.6","5020595322880.0","5338304870656.0","5496179059520.0","5556975331008.0","5395178802048.0","5669742608768.0"
"5429076530688.0","6977660958720.0","6873091107840.0","6403477413888.0","5884430699520.0","5998506900480.0","5410063830528.0","4686630589440.0","4552591053312.0","3966999888384.0","5047871892480.0","5604944007168.0","5464250025984.0","5389149860352.0","5666735282688.0","4680926779392.0","5270320484352.0","5089699832832.0","6266585972736.0","6182930092032.0","6418687574016.0","6508047264768.0","7932098506752.0","7806614685696.0","9183134177280.0","8740138263552.0","7614586414080.0","7783799445504.0","8023359467520.0"
"3943083843072.0","4528806339072.0","4469296933478.399","4332940736409.6","4713894647808.0","5154357964800.0","5182472644608.0","5256039390105.601","5562020822016.0","5600912795750.399","5243387784192.0","5298211409817.601","5434099028889.601","4958960940134.399","5199810030489.601","5155763698790.399","5488454076518.399","5410670129049.601","5360532283392.0","5191844204544.0","4987075619942.399","5429413248921.601","5708685735014.399","5013784565760.0","5310394437734.399","5207307278438.399","4751380887552.0","5057362319462.399","5590135501824.0"
"3358768915200.0","3390455414400.0","3304268136576.0","3548887910400.0","3989963979264.0","4043197297920.0","4030522698240.0","4278944851968.0","4024185398400.0","4050802057728.0","3984894139392.0","3910114001280.0","3899974321536.0","3583109329536.0","3789705304320.0","3954475100160.0","3861950522496.0","3997568739072.0","3972219539712.0","3918986221056.0","3910114001280.0","4039394918016.0","4024185398400.0","3945602880384.0","4055871897600.0","4252328192640.0","4848034377600.0","5169969209472.0","5384169944064.0"
"9689513545728.0","10563537766400.0","11588056223744.0","12239233209344.0","15100070766080.0","13589340159488.0","14528482078720.0","11810903458816.0","11179985312768.0","10074431497216.0","8977560041472.0","9301701474304.0","9158442537472.0","8537653811200.0","7932782744576.0","7332252857856.0","7571017752576.0","8071700501504.0","7654947230720.0","7669417830400.0","7424864695808.0","7964618063872.0","7973300423680.0","7207805700608.0","9512972229632.0","8750371626496.0","8161418219520.0","9049913039872.0","7987771023360.0"
