"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"24419179431936.0","25096394155008.0","30356314334208.0","31375423868928.0","33071748126720.0","35208590699520.0","34057983160320.0","36747117351936.0","34064558060544.0","39449401344000.0","47615427422208.0","49864043298816.0"
"9942511142707.2","10870432220160.0","12415024465920.0","13359265763328.0","13563268512768.0","14787285009408.0","14653226059776.0","14629911459840.0","14122818911232.0","16261933455360.0","17975556550656.0","18150416050176.0"
"15484937149440.0","15883224698880.0","15647872965120.0","16070299153920.0","14658188751360.0","14772847288320.0","14996129702400.0","15472867829760.0","16184957690880.0","17735865269760.0","15623734325760.0","15672011604480.0"
"7139569417920.0","8899695599040.0","9473349288960.0","9788974009920.0","9941026795200.0","9418057367040.0","9102432646080.0","11069903534400.0","11636645734080.0","12839245035840.0","16988443009920.0","18232511253120.0"
"6713749551052.8","7473546759168.0","9271693347840.0","9720025878988.799","9627710317516.799","9536598872064.0","9305007224371.201","9212691662899.201","9044918164224.0","10295191964160.0","12863972805120.0","13995841863168.0"
"6882307895808.0","7398136182988.8","8179694193868.8","8549325159014.399","8913439244083.2","8528177118720.0","8713912081305.601","9456851931648.0","9351111730176.0","10734929149440.0","11645214362112.0","12785369577984.0"
"14818277011200.0","16443194457600.0","16455320707200.0","15463393489920.0","14677612515840.0","13460137056000.0","14102828284800.0","15363958243200.0","15065652503040.0","16147313967360.0","16986450439680.0","16865187943680.0"
"7241353536000.0","7409693376000.0","8037248640000.0","8735271744000.001","8718437760000.0","9587541120000.0","9421941696000.0","9471269184000.0","8977994304000.0","10048322496000.0","10888455744000.0","11626019136000.0"
"6230585564672.0","6488413059072.0","7972026126848.0","8163555122688.0","8002965426176.0","7989705726464.0","7980865926656.0","7944033427456.0","7805543230464.0","8885472107008.0","9654534690304.0","10469269572608.0"
"7647388135424.0","8506556256256.0","9438971428864.0","9262782574592.0","9223189573632.0","8597620158464.0","8845076414464.0","10317936050176.0","11713589334016.0","11630444032000.0","12644024856576.0","13034015916032.0"
"5697454080000.0","6391756800000.0","6798504960000.0","7349775360000.0","7777382400000.0","6867041280000.0","6455823360000.0","8202009600000.0","8884392960000.0","8830755840000.0","9005076480000.0","9992893440000.0"
"13920793444352.0","13266683872870.398","14298164350976.0","13660826819788.8","14113671907737.602","14809711579955.2","14826483620249.602","14516200874803.2","14449112713625.602","15623155534233.602","15287714728345.602","15078064224665.602"
"6434610463744.0","6762643811072.0","8146400201984.0","8236645184000.0","7838421295104.0","7743878932992.0","7696607751936.0","8219455663616.0","8260997004544.0","9671970136064.0","9333909568512.0","9262286566912.0"
"6660617040000.0","6910928640000.0","7616458080000.0","7509348000000.0","7296292080000.0","7253215200000.0","7242737040000.0","8047226880000.0","8567642160000.0","9674834400000.0","9779616000000.0","9542111040000.0"
"5334382530560.0","6165918630912.0","6501278709120.0","6391453186432.0","6328695744896.0","6795454216320.0","6556191470464.0","7154348335104.0","6920969099392.0","7707398288640.0","8582080130048.0","9223382735744.0"
"8835201764352.0","8631765872640.0","8650778572800.0","8264820759552.0","8173559798784.0","7806614685696.0","7335099721728.0","7605080064000.0","7361717501952.0","8409317280768.0","9456917059584.0","9082366866432.0"
"5604192841728.0","6255516257280.0","6780323613696.0","7048818805862.399","7345897255833.601","7881481906176.0","7059127521792.0","7070841971712.0","6869353433088.0","7851024336384.0","8350059902976.0","8860809919488.0"
"4981117674240.0","5204190628608.0","5574288939264.0","6093947526144.0","6109157045760.0","6441231557376.0","6452638697088.0","6367718879232.0","6115494345600.0","6849353667072.0","7100310740736.0","7721366125056.0"
"7371323476992.0","7922653324800.0","9800937163264.0","10479608288256.0","9471007490560.0","9167124897280.0","8861795244032.0","8711301007360.0","9106348378624.0","9348007393280.0","12719657118720.0","12968551433216.0"
"7151204376576.0","7006975742208.0","7174978327296.0","6880181338368.0","7144864656384.0","7355660352768.0","6439570785024.0","6601233649920.0","6425306414592.0","6913464869376.0","6953088120576.0","6631347320832.0"
"4943886360000.0","6111144540000.0","5940665700000.0","5751051480000.0","5620582980000.0","5331812700000.0","4987375860000.0","5798020140000.0","6132019500000.0","6591268620000.0","6779143260000.0","6519945840000.0"
