"2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"6899286240000.0","7664191920000.0","7052965920000.0","7538454000000.0","7196167440000.0","7298620560000.0","7881904800000.0","7523318880000.0","6566313600000.0","6158829600000.0","6322987440000.0","5844484800000.0","5832842400000.0","6246147600000.0","6538371840000.0","6754920480000.0","7179868080000.0","6974961840000.0","6685066080000.0","6831760320000.0","6951677040000.0","6635003760000.0","6815460960000.0","7066936800000.0","6862030560000.0","6440575680000.0","6548850000000.0","5965565760000.0","5973715440000.0"
"3392824183040.0","3469898165926.4","3355561952128.0","3434008754048.0","3441853434240.0","3418907744678.4","3385567853862.4","3339284240729.6","3405964022361.6","3515005077030.4","3936068286336.0","3920967276966.4","3731518250329.6","4178665021273.5996","4464995848281.6","4297511926182.4004","4659740034048.0","4588549561305.6","4880763898457.6","5166310257446.4","5075508084224.0","5093746965670.4","5030401173120.0","5277508599168.0","5544227725696.0","5545208310720.0","5322615510272.0","5668762023744.0","4995100112256.0"
"7023291439104.0","6720989506560.0","6397773603840.0","5722822748160.0","6131595801600.0","5298839534592.0","4810213140480.0","4552591053312.0","4105792599552.0","4970870456832.0","5664834012672.0","5450941135872.0","5370137160192.0","5561214796800.0","4876757591040.0","5311197789696.0","5095403642880.0","6201942792192.0","6500442184704.0","6534665044992.0","6698174266368.0","7979630257152.0","7684933404672.0","9063354166272.0","8589937932288.0","8080397568000.0","7726761345024.0","8143139478528.0","9167924017152.0"
"4517840404684.8","4527280104652.8","4349341760256.0","4580614409472.0","5221570037299.2","5084694387763.2","5275376327116.8","5584998486067.2","5495321336371.2","5257912882176.0","5435851226572.8","5268768537139.2","4878908928460.8","5081862477772.8","5276792282112.0","5545823731200.0","5485881636403.2","5379213026764.8","5013896638003.2","5180979327436.8","5330126586931.2","5858749785139.2","4935547128268.8","5306527337011.2","5280096177100.8","4770352378828.8","5045519632896.0","5572726876108.8","5522224481280.0"
"3365106215040.0","3314407816320.0","3494387131776.0","3951940180224.0","4053336977664.0","3891102101760.0","4240921052928.0","4024185398400.0","3968417159808.0","3911381461248.0","4016580638592.0","3815054503680.0","3553957750272.0","3708587866368.0","3929125900800.0","3865752902400.0","3972219539712.0","4001371118976.0","3850543382784.0","3911381461248.0","4014045718656.0","4039394918016.0","3960812400000.0","4071081417216.0","4352457530112.0","4704811401216.0","5139550170240.0","5380367564160.0","4760579639808.0"
"10546072676352.0","11685953468928.0","11758464969728.0","14350026008320.0","13530646049280.0","14335523708160.0","11973099012096.0","11275538374400.0","9915222619392.0","8963871728896.0","9397490503680.0","8939217818624.0","8744886996480.0","7880549906944.0","7267102610176.0","7432428832000.0","8061828658944.0","7641261954304.0","7800787256064.0","7591954133760.0","8128539239680.0","8066179348992.0","7106127078400.0","9281472102400.0","8631769055232.0","8185098210304.0","8910213218304.0","8000918998272.0","7515091942912.0"
"5935563029760.0","5951412330240.0","5861071317504.0","5677219431936.0","6315946241280.0","5761220724480.0","5894354848512.0","5894354848512.0","5835712436736.0","5830957646592.0","5862656247552.0","5076530943744.0","4803922975488.0","4971925560576.0","5274647199744.0","5548840098048.0","5544085307904.0","5973601350912.0","5868995967744.0","6051262923264.0","6220850438400.0","6101980684800.0","5970431490816.0","6209755928064.0","6418966694400.0","6515647427328.0","6482363896320.0","6675725362176.0","6894445708800.0"
"4839511560000.0","4964761320000.0","4660334820000.0","4209783600000.0","4524647580000.0","4326335460000.0","4992594600000.0","5124802680000.0","5359645980000.0","6185946480000.0","6079832100000.0","5818895100000.0","6269446320000.0","5952842760000.0","5133500580000.0","5168292180000.0","4881261480000.0","4519428840000.0","4804719960000.0","4030606860000.0","4616845320000.0","4957803000000.0","4829074080000.0","4827334500000.0","4891698960000.0","4420272780000.0","4940407200000.0","4686428520000.0","5065656960000.0"
"6022502600000.0","6191112480000.0","6217363120000.0","6643431200000.0","6855455600000.0","6675739680000.0","7505663760000.0","6996805200000.0","6728240960000.0","6804973600000.0","7453162480000.0","7124019840000.0","6663624000000.0","6788819360000.0","7360275600000.0","7584415680000.0","8087216400000.0","8753578800000.0","9058490080000.0","8660691920000.0","8666749760000.0","8636460560000.0","8567805040000.0","8874735600000.0","8301260080000.0","8040772960000.0","8196257520000.0","8048850080000.0","8264913040000.0"
"3201043308608.0","3250097444736.0","3328375321536.0","3274102660288.0","3520417045952.0","3511023700736.0","3531897801216.0","3365948702400.0","3081017230848.0","3142595827264.0","3250097444736.0","3183300323200.0","2973515613376.0","3044487555008.0","2988127483712.0","2883756981312.0","2943248167680.0","2855576945664.0","2955772627968.0","3028831979648.0","2930723707392.0","2960991153088.0","2723026407616.0","2734507162880.0","2875407341120.0","2741813098048.0","2976646728448.0","3199999603584.0","3294976760768.0"
